Cancer Type,Gender,Survival (%)
Lung,Female,70.4
Lung,Female,65.1
Lung,Female,55.2
Lung,Female,81.3
Lung,Female,63.6
Lung,Female,59.6
Lung,Female,47.1
Lung,Female,76.9
Lung,Female,60.5
Lung,Female,54.9
Lung,Female,43.5
Lung,Female,73.6
Lung,Female,68.8
Lung,Female,64
Lung,Female,56.1
Lung,Female,50
Lung,Female,46.8
Lung,Female,42.6
Lung,Female,35
Lung,Female,43.7
Lung,Female,38.6
Lung,Female,32.8
Lung,Female,25.2
Lung,Female,38.7
Lung,Female,33.7
Lung,Female,27.6
Lung,Female,20.8
Lung,Female,23.8
Lung,Female,17
Lung,Female,46.1
Lung,Female,35.1
Lung,Female,28.8
Lung,Female,23.9
Lung,Female,30.1
Lung,Female,18.2
Lung,Female,15.2
Lung,Female,12
Lung,Female,22.4
Lung,Female,12.6
Lung,Female,10.3
Lung,Female,7.7
Lung,Female,19.1
Lung,Female,9.6
Lung,Female,7.8
Lung,Female,5.5
Lung,Female,16
Lung,Female,8.4
Lung,Female,6.7
Lung,Female,4.1
Lung,Male,98.7
Lung,Male,91.4
Lung,Male,89.9
Lung,Male,87.2
Lung,Male,96.8
Lung,Male,82.8
Lung,Male,79.8
Lung,Male,75.3
Lung,Male,91.5
Lung,Male,77.4
Lung,Male,72.1
Lung,Male,66.9
Lung,Male,67.7
Lung,Male,60.4
Lung,Male,63.8
Lung,Male,56
Lung,Male,96.3
Lung,Male,83.9
Lung,Male,80.9
Lung,Male,75.3
Lung,Male,92.6
Lung,Male,66.7
Lung,Male,65.6
Lung,Male,57.2
Lung,Male,84.9
Lung,Male,58.1
Lung,Male,57.2
Lung,Male,48.2
Lung,Male,78.1
Lung,Male,52.9
Lung,Male,51
Lung,Male,41.4
Lung,Male,46.9
Lung,Male,35.9
Lung,Male,62.8
Lung,Male,59.9
Lung,Male,57
Lung,Male,51.3
Lung,Male,48.9
Lung,Male,38.9
Lung,Male,34.9
Lung,Male,30.6
Lung,Male,42.7
Lung,Male,29.1
Lung,Male,26.3
Lung,Male,21.6
Lung,Male,36.8
Lung,Male,26.1
Lung,Male,21.6
Lung,Male,16.4
Lung,Male,18.8
Lung,Male,13.2
Lung,Male,32.8
Lung,Male,25.6
Lung,Male,21.7
Lung,Male,18.2
Lung,Male,22.5
Lung,Male,13.1
Lung,Male,10.5
Lung,Male,7.9
Lung,Male,15.1
Lung,Male,9
Lung,Male,7.1
Lung,Male,4.8
Lung,Male,12.9
Lung,Male,7.1
Lung,Male,5.2
Lung,Male,3.3
Lung,Male,12
Lung,Male,6.5
Lung,Male,4.6
Lung,Male,2.5
Melanoma,Female,100
Melanoma,Female,100.1
Melanoma,Female,100.2
Melanoma,Female,100.5
